board,letter_pool,minimum_words,total_solution_count,sample_solution_number,sample_words
7,IVSGRLEOZIEEVEYV,4,15,6,IVY | LOVE | SIZE | VERGE
7,IVSGRLEOZIEEVEYV,4,15,7,IVY | SIZE | VEER | GLOVE
7,IVSGRLEOZIEEVEYV,4,15,8,IVY | SIZE | VOLE | VERGE
8,AAECVVSRFPEEZEVO,4,18,1,FEZ | CAVE | SAVE | PROVE
8,AAECVVSRFPEEZEVO,4,18,2,FEZ | CAVE | VASE | PROVE
8,AAECVVSRFPEEZEVO,4,18,3,ZAP | COVE | SAVE | FEVER
8,AAECVVSRFPEEZEVO,4,18,4,ZAP | COVE | VASE | FEVER
9,EBINOYZCERVVEXIG,4,14,1,BEE | COX | IVY | REV | ZING
9,EBINOYZCERVVEXIG,4,14,2,BEG | NIX | REV | VIE | COZY
9,EBINOYZCERVVEXIG,4,14,3,BEG | NIX | COZY | REVIVE
9,EBINOYZCERVVEXIG,4,14,4,BIG | COX | IVY | ZEN | EVER
9,EBINOYZCERVVEXIG,4,14,5,BIG | COX | IVY | ZEN | VEER
9,EBINOYZCERVVEXIG,4,14,6,BIG | COX | VIE | ZEN | VERY
9,EBINOYZCERVVEXIG,4,14,7,BIG | EVE | NIX | REV | COZY
9,EBINOYZCERVVEXIG,4,14,8,BOX | EVE | ICY | REV | ZING
10,QXIULORVOEOFLJIY,4,6,1,FIX | JOY | LOVE | LIQUOR
10,QXIULORVOEOFLJIY,4,6,2,FIX | JOY | VOLE | LIQUOR
10,QXIULORVOEOFLJIY,4,6,3,FOX | JOY | EVIL | LIQUOR
10,QXIULORVOEOFLJIY,4,6,4,FOX | JOY | LIVE | LIQUOR
10,QXIULORVOEOFLJIY,4,6,5,FOX | JOY | VEIL | LIQUOR
10,QXIULORVOEOFLJIY,4,6,6,FOX | JOY | VILE | LIQUOR
11,JIZIGVRERRKNOEFN,3,9,1,FEZ | JIG | NOR | REV | RINK
11,JIZIGVRERRKNOEFN,3,9,2,FEZ | NOR | JERK | VIRGIN
11,JIZIGVRERRKNOEFN,3,9,3,FIN | JERK | ZING | ROVER
11,JIZIGVRERRKNOEFN,3,9,4,FOR | JIG | REV | ZEN | RINK
11,JIZIGVRERRKNOEFN,3,9,5,FOR | ZEN | JERK | VIRGIN
11,JIZIGVRERRKNOEFN,3,9,6,FRO | JIG | REV | ZEN | RINK
11,JIZIGVRERRKNOEFN,3,9,7,FRO | ZEN | JERK | VIRGIN
11,JIZIGVRERRKNOEFN,3,9,8,JIG | REV | RINK | FROZEN
12,IONRYPNBGJJZUIIZ,4,6,1,INN | JIG | JOY | RIP | BUZZ
12,IONRYPNBGJJZUIIZ,4,6,2,JOB | ZIP | ZING | INJURY
13,VIALJEISTEISTIJZ,4,8,1,ITS | JAIL | JEEZ | VISIT
13,VIALJEISTEISTIJZ,4,8,2,JET | SIS | VIE | ZIT | JAIL
13,VIALJEISTEISTIJZ,4,8,3,JET | JAIL | SIZE | VISIT
13,VIALJEISTEISTIJZ,4,8,4,SIT | JAIL | JEEZ | VISIT
13,VIALJEISTEISTIJZ,4,8,5,ZIT | JAIL | JIVE | SITES
14,KUQMEJIUUNCJPTEA,3,10,1,ACE | JUMP | JUNK | QUIET
14,KUQMEJIUUNCJPTEA,3,10,2,ACE | JUMP | JUNK | QUITE
14,KUQMEJIUUNCJPTEA,3,10,3,JAM | JET | PUCK | UNIQUE
14,KUQMEJIUUNCJPTEA,3,10,4,TIN | JACK | JUMP | QUEUE
14,KUQMEJIUUNCJPTEA,3,10,5,JUMP | JACKET | UNIQUE
15,YAYOZLLVNXHVEEAR,4,4,1,HEX | VAN | LAZY | OVERLY
15,YAYOZLLVNXHVEEAR,4,4,2,HEX | ENVY | LAZY | VALOR
15,YAYOZLLVNXHVEEAR,4,4,3,HEX | LAZY | NAVY | LOVER
15,YAYOZLLVNXHVEEAR,4,4,4,LAX | ENVY | LAZY | HOVER
16,JOIJONORKXVMTGEF,4,8,1,FIX | JOG | JOT | REV | MONK
16,JOIJONORKXVMTGEF,4,8,2,FOX | JIG | JOT | REV | MONK
16,JOIJONORKXVMTGEF,4,8,3,FOX | JOG | JOT | REV | MINK
16,JOIJONORKXVMTGEF,4,8,4,FOX | JOT | JERK | MOVING
17,ZAAEWZUVIRSBUVPZ,4,2,1,ZAP | BUZZ | WAVE | VIRUS
18,KIQCOVUNAKSUEJTJ,4,14,1,JOT | JIVE | SUNK | QUACK
18,KIQCOVUNAKSUEJTJ,4,14,2,JOT | JUNK | SAVE | QUICK
18,KIQCOVUNAKSUEJTJ,4,14,3,JOT | JUNK | VASE | QUICK
18,KIQCOVUNAKSUEJTJ,4,14,4,VAN | JOKE | JUST | QUICK
18,KIQCOVUNAKSUEJTJ,4,14,5,VIA | JOCK | JUNK | QUEST
18,KIQCOVUNAKSUEJTJ,4,14,6,VIE | JOCK | JUNK | SQUAT
18,KIQCOVUNAKSUEJTJ,4,14,7,JOCK | JUNK | QUIT | SAVE
18,KIQCOVUNAKSUEJTJ,4,14,8,JOCK | JUNK | QUIT | VASE
19,RYEVOJVRXDUWYNAA,4,2,1,WAX | JURY | NAVY | DROVE
20,EZUJTXHOUAQEBRZS,4,5,1,HEX | JAR | BUZZ | QUOTES
20,EZUJTXHOUAQEBRZS,4,5,2,HEX | JOT | BUZZ | SQUARE
20,EZUJTXHOUAQEBRZS,4,5,3,HEX | RUB | JAZZ | QUOTES
20,EZUJTXHOUAQEBRZS,4,5,4,HEX | BUZZ | JARS | QUOTE
20,EZUJTXHOUAQEBRZS,4,5,5,HEX | JAZZ | RUBS | QUOTE
21,IRERUEBJEVDOKKVNNEXJ,5,57,1,BED | NIX | REV | REV | JOKE | JUNK
21,IRERUEBJEVDOKKVNNEXJ,5,57,2,BOX | DEN | REV | VIE | JERK | JUNK
21,IRERUEBJEVDOKKVNNEXJ,5,57,3,BOX | DEN | JERK | JUNK | REVIVE
21,IRERUEBJEVDOKKVNNEXJ,5,57,4,BOX | DIN | EVE | REV | JERK | JUNK
21,IRERUEBJEVDOKKVNNEXJ,5,57,5,BOX | END | REV | VIE | JERK | JUNK
21,IRERUEBJEVDOKKVNNEXJ,5,57,6,BOX | END | JERK | JUNK | REVIVE
21,IRERUEBJEVDOKKVNNEXJ,5,57,7,BOX | EVE | JERK | JUNK | DRIVEN
21,IRERUEBJEVDOKKVNNEXJ,5,57,8,BOX | KEN | RED | REV | JIVE | JUNK
22,ZPEGEPEXTEXAETIVPCNC,4,42,1,APP | VET | EXEC | ZING | EXCEPT
22,ZPEGEPEXTEXAETIVPCNC,4,42,2,APP | VET | EXEC | ZING | EXPECT
22,ZPEGEPEXTEXAETIVPCNC,4,42,3,CAP | PEG | VET | ZIP | EXEC | NEXT
22,ZPEGEPEXTEXAETIVPCNC,4,42,4,GAP | ZIP | EXEC | VENT | EXCEPT
22,ZPEGEPEXTEXAETIVPCNC,4,42,5,GAP | ZIP | EXEC | VENT | EXPECT
22,ZPEGEPEXTEXAETIVPCNC,4,42,6,PAP | VET | EXEC | ZING | EXCEPT
22,ZPEGEPEXTEXAETIVPCNC,4,42,7,PAP | VET | EXEC | ZING | EXPECT
22,ZPEGEPEXTEXAETIVPCNC,4,42,8,PEG | ZAP | NEXT | VICE | EXCEPT
23,REEZVIEBSTUERYVOSZXV,4,45,1,EVE | REV | REV | SIX | BUZZ | TOYS
23,REEZVIEBSTUERYVOSZXV,4,45,2,EVE | REV | SIX | VET | BUZZ | ROSY
23,REEZVIEBSTUERYVOSZXV,4,45,3,EVE | SIS | BUZZ | VERY | VORTEX
23,REEZVIEBSTUERYVOSZXV,4,45,4,EVE | SIX | BUZZ | VERY | VOTERS
23,REEZVIEBSTUERYVOSZXV,4,45,5,IVY | REV | BUZZ | SEES | VORTEX
23,REEZVIEBSTUERYVOSZXV,4,45,6,IVY | SERVE | BUZZES | VORTEX
23,REEZVIEBSTUERYVOSZXV,4,45,7,IVY | SEVER | BUZZES | VORTEX
23,REEZVIEBSTUERYVOSZXV,4,45,8,IVY | VERSE | BUZZES | VORTEX
24,ITOZVJOJEKEAVDRXEENZ,4,42,1,DEN | VIE | JAZZ | JOKE | VORTEX
24,ITOZVJOJEKEAVDRXEENZ,4,42,2,DIN | EVE | JAZZ | JOKE | VORTEX
24,ITOZVJOJEKEAVDRXEENZ,4,42,3,DOE | KEN | JAZZ | JIVE | VORTEX
24,ITOZVJOJEKEAVDRXEENZ,4,42,4,DOE | NIX | REV | VET | JAZZ | JOKE
24,ITOZVJOJEKEAVDRXEENZ,4,42,5,DOT | EVE | NIX | REV | JAZZ | JOKE
24,ITOZVJOJEKEAVDRXEENZ,4,42,6,END | VIE | JAZZ | JOKE | VORTEX
24,ITOZVJOJEKEAVDRXEENZ,4,42,7,EVE | EVE | JOT | NIX | DORK | JAZZ
24,ITOZVJOJEKEAVDRXEENZ,4,42,8,EVE | JOT | NIX | JAZZ | REVOKED
25,ZEUJEIVJINARVZUQIYTD,5,31,1,ANT | JEEZ | JURY | QUIZ | VIVID
25,ZEUJEIVJINARVZUQIYTD,5,31,2,IVY | JAR | NUT | ZED | JIVE | QUIZ
25,ZEUJEIVJINARVZUQIYTD,5,31,3,IVY | JET | RUN | VIE | JAZZ | QUID
25,ZEUJEIVJINARVZUQIYTD,5,31,4,IVY | JET | URN | VIE | JAZZ | QUID
25,ZEUJEIVJINARVZUQIYTD,5,31,5,IVY | VET | JAZZ | QUID | INJURE
25,ZEUJEIVJINARVZUQIYTD,5,31,6,IVY | JAZZ | JIVE | QUIT | UNDER
25,ZEUJEIVJINARVZUQIYTD,5,31,7,JAY | JEEZ | QUIZ | RUNT | VIVID
25,ZEUJEIVJINARVZUQIYTD,5,31,8,JAY | JEEZ | QUIZ | TURN | VIVID
26,NKZDJLVPAOIIOANJAJUI,5,6,1,ZAP | JAIL | JOIN | JUNK | AVOID
27,IUJERIIGNSINWOIEVVZL,4,19,1,JIG | OIL | VIE | WIN | ZEN | VIRUS
27,IUJERIIGNSINWOIEVVZL,4,19,2,JIG | RUN | SIZE | VIEW | VIOLIN
27,IUJERIIGNSINWOIEVVZL,4,19,3,JIG | URN | SIZE | VIEW | VIOLIN
27,IUJERIIGNSINWOIEVVZL,4,19,4,JUG | ZEN | IRIS | VIEW | VIOLIN
27,IUJERIIGNSINWOIEVVZL,4,19,5,LIE | JOIN | VIEW | ZING | VIRUS
27,IUJERIIGNSINWOIEVVZL,4,19,6,OIL | JIVE | RUIN | ZING | VIEWS
27,IUJERIIGNSINWOIEVVZL,4,19,7,OIL | JIVE | RUIN | ZING | WIVES
27,IUJERIIGNSINWOIEVVZL,4,19,8,OIL | JIVE | VIEW | ZING | RUINS
28,OJINCWLEANWTVEOIVIJULQJAI,6,2088,1,ACE | JAW | TIN | VOW | JIVE | JOIN | QUILL
28,OJINCWLEANWTVEOIVIJULQJAI,6,2088,2,ACT | INN | JAW | WOO | JIVE | JIVE | QUILL
28,OJINCWLEANWTVEOIVIJULQJAI,6,2088,3,ACT | JAW | NOW | VIE | JIVE | JOIN | QUILL
28,OJINCWLEANWTVEOIVIJULQJAI,6,2088,4,ACT | JAW | OWN | VIE | JIVE | JOIN | QUILL
28,OJINCWLEANWTVEOIVIJULQJAI,6,2088,5,ACT | JAW | VIE | WON | JIVE | JOIN | QUILL
28,OJINCWLEANWTVEOIVIJULQJAI,6,2088,6,ALL | CAN | WOW | JIVE | JIVE | JOIN | QUIT
28,OJINCWLEANWTVEOIVIJULQJAI,6,2088,7,ALL | CON | JAW | JIVE | JOIN | QUIT | VIEW
28,OJINCWLEANWTVEOIVIJULQJAI,6,2088,8,ALL | COW | JAW | JIVE | JOIN | QUIT | VEIN
29,NIJIZVZIINCOJEPARATOJOWOV,6,1707,1,AIR | CON | JOT | VOW | JIVE | JOIN | PIZZA
29,NIJIZVZIINCOJEPARATOJOWOV,6,1707,2,AIR | COP | VIE | VOW | JAZZ | JOIN | JOINT
29,NIJIZVZIINCOJEPARATOJOWOV,6,1707,3,AIR | COP | VOW | INTO | JAZZ | JIVE | JOIN
29,NIJIZVZIINCOJEPARATOJOWOV,6,1707,4,AIR | JOT | NIP | VOW | JAZZ | JOIN | VOICE
29,NIJIZVZIINCOJEPARATOJOWOV,6,1707,5,AIR | JOT | PIN | VOW | JAZZ | JOIN | VOICE
29,NIJIZVZIINCOJEPARATOJOWOV,6,1707,6,AIR | PIT | VOW | COVE | JAZZ | JOIN | JOIN
29,NIJIZVZIINCOJEPARATOJOWOV,6,1707,7,AIR | POT | VOW | COIN | JAZZ | JIVE | JOIN
29,NIJIZVZIINCOJEPARATOJOWOV,6,1707,8,AIR | POT | VOW | ICON | JAZZ | JIVE | JOIN
30,EUVAOLXJFENYSAHAVVORQBEYE,6,1633,1,AHA | BOX | ELF | JOY | REV | QUEEN | SAVVY
30,EUVAOLXJFENYSAHAVVORQBEYE,6,1633,2,AHA | JOB | FOXY | VERY | QUEEN | VALVES
30,EUVAOLXJFENYSAHAVVORQBEYE,6,1633,3,AHA | JOB | FOXY | VERY | VALVE | QUEENS
30,EUVAOLXJFENYSAHAVVORQBEYE,6,1633,4,AHA | JOB | FOXY | LEVER | QUEEN | SAVVY
30,EUVAOLXJFENYSAHAVVORQBEYE,6,1633,5,AHA | JOY | FOXY | VERB | QUEEN | VALVES
30,EUVAOLXJFENYSAHAVVORQBEYE,6,1633,6,AHA | JOY | FOXY | VERB | VALVE | QUEENS
30,EUVAOLXJFENYSAHAVVORQBEYE,6,1633,7,AHA | FOXY | JOBS | VERY | QUEEN | VALVE
30,EUVAOLXJFENYSAHAVVORQBEYE,6,1633,8,AHA | FOXY | JOYS | VERB | QUEEN | VALVE
31,VGNTGZEEZYULXLILVBNEOEOOV,5,855,1,BOX | EVE | ZOO | GULL | LEVY | VENT | ZING
31,VGNTGZEEZYULXLILVBNEOEOOV,5,855,2,BOX | GEL | IVY | ZEN | ZOO | LUNG | VELVET
31,VGNTGZEEZYULXLILVBNEOEOOV,5,855,3,BOX | GEN | IVY | ZEN | ZOO | GULL | VELVET
31,VGNTGZEEZYULXLILVBNEOEOOV,5,855,4,BOX | GIN | LUG | ZEN | ZOO | LEVY | VELVET
31,VGNTGZEEZYULXLILVBNEOEOOV,5,855,5,BOX | GOO | IVY | ZEN | ZEN | GULL | VELVET
31,VGNTGZEEZYULXLILVBNEOEOOV,5,855,6,BOX | GOT | IVY | ZEN | ZEN | GULL | EVOLVE
31,VGNTGZEEZYULXLILVBNEOEOOV,5,855,7,BOX | GUN | LOG | ZEN | ZIT | LEVY | EVOLVE
31,VGNTGZEEZYULXLILVBNEOEOOV,5,855,8,BOX | GUN | VET | ZOO | LEVY | ZING | LEVEL
32,EEUVENRTZXOIJEBIZPCULQKCC,5,855,1,BET | COP | NIX | REV | JEEZ | QUIZ | CLUCK
32,EEUVENRTZXOIJEBIZPCULQKCC,5,855,2,BET | COX | CUP | REV | JEEZ | QUIZ | CLINK
32,EEUVENRTZXOIJEBIZPCULQKCC,5,855,3,BET | COX | CUP | ZEN | JIVE | QUIZ | CLERK
32,EEUVENRTZXOIJEBIZPCULQKCC,5,855,4,BET | COX | NIP | REV | JEEZ | QUIZ | CLUCK
32,EEUVENRTZXOIJEBIZPCULQKCC,5,855,5,BET | COX | PER | ZEN | JIVE | QUIZ | CLUCK
32,EEUVENRTZXOIJEBIZPCULQKCC,5,855,6,BET | COX | PIN | REV | JEEZ | QUIZ | CLUCK
32,EEUVENRTZXOIJEBIZPCULQKCC,5,855,7,BET | COX | PUN | REV | JEEZ | QUIZ | CLICK
32,EEUVENRTZXOIJEBIZPCULQKCC,5,855,8,BET | COX | REP | ZEN | JIVE | QUIZ | CLUCK
33,CGXRPEEXEYETXNYCOPATTUXJE,5,766,1,COX | GAP | YEP | EXEC | JURY | NEXT | TEXT
33,CGXRPEEXEYETXNYCOPATTUXJE,5,766,2,COX | GUY | JAY | EXEC | NEXT | PREP | TEXT
33,CGXRPEEXEYETXNYCOPATTUXJE,5,766,3,COX | GUY | JAY | NEXT | EXCEPT | EXPERT
33,CGXRPEEXEYETXNYCOPATTUXJE,5,766,4,COX | GUY | JAY | NEXT | EXPECT | EXPERT
33,CGXRPEEXEYETXNYCOPATTUXJE,5,766,5,COX | JAG | RYE | TUX | YEP | NEXT | EXCEPT
33,CGXRPEEXEYETXNYCOPATTUXJE,5,766,6,COX | JAG | RYE | TUX | YEP | NEXT | EXPECT
33,CGXRPEEXEYETXNYCOPATTUXJE,5,766,7,COX | JAG | TUX | EXEC | NEXT | PREY | TYPE
33,CGXRPEEXEYETXNYCOPATTUXJE,5,766,8,COX | JAG | YUP | EXEC | NEXT | PREY | TEXT
34,TQNULEEZUAEOAOQERECEABXBV,5,642,1,ACE | AXE | BOB | REV | ZEN | EQUAL | QUOTE
34,TQNULEEZUAEOAOQERECEABXBV,5,642,2,ACE | BAR | BOX | EVE | ZEN | EQUAL | QUOTE
34,TQNULEEZUAEOAOQERECEABXBV,5,642,3,ACE | BEE | BOX | REV | ZEN | EQUAL | QUOTA
34,TQNULEEZUAEOAOQERECEABXBV,5,642,4,ACE | BOX | BRA | EVE | ZEN | EQUAL | QUOTE
34,TQNULEEZUAEOAOQERECEABXBV,5,642,5,ACE | BOX | EEL | ZEN | AQUA | VERB | QUOTE
34,TQNULEEZUAEOAOQERECEABXBV,5,642,6,ACE | BOX | EVE | ZERO | EQUAL | BANQUET
34,TQNULEEZUAEOAOQERECEABXBV,5,642,7,ACE | BOX | EVE | EQUAL | QUOTE | BRAZEN
34,TQNULEEZUAEOAOQERECEABXBV,5,642,8,ACE | BOX | EVE | QUEEN | QUOTA | BLAZER
35,ZJESDPVNTQAACZEXEUUQUEEIN,5,545,1,AND | CUP | SAX | VET | JEEZ | QUIZ | QUEEN
35,ZJESDPVNTQAACZEXEUUQUEEIN,5,545,2,AXE | CUP | DEN | VAN | JEEZ | QUIZ | QUEST
35,ZJESDPVNTQAACZEXEUUQUEEIN,5,545,3,AXE | CUP | END | VAN | JEEZ | QUIZ | QUEST
35,ZJESDPVNTQAACZEXEUUQUEEIN,5,545,4,AXE | CUP | JET | VAN | ZED | QUIZ | QUEENS
35,ZJESDPVNTQAACZEXEUUQUEEIN,5,545,5,AXE | CUP | JET | ZED | QUIZ | VANS | QUEEN
35,ZJESDPVNTQAACZEXEUUQUEEIN,5,545,6,AXE | CUP | JET | ZEN | EVEN | QUIZ | SQUAD
35,ZJESDPVNTQAACZEXEUUQUEEIN,5,545,7,AXE | CUP | JET | ZEN | QUAD | QUIZ | SEVEN
35,ZJESDPVNTQAACZEXEUUQUEEIN,5,545,8,AXE | CUP | VAN | ZED | JEST | QUIZ | QUEEN
36,OCAWIIFRMVSVVEEUQVSXOIUIK,5,333,1,AIM | FOX | VIE | VOW | QUICK | SURVIVES
36,OCAWIIFRMVSVVEEUQVSXOIUIK,5,333,2,AIM | FOX | VIE | VOWS | QUICK | SURVIVE
36,OCAWIIFRMVSVVEEUQVSXOIUIK,5,333,3,EVE | FIX | OUR | SIM | VIVA | VOWS | QUICK
36,OCAWIIFRMVSVVEEUQVSXOIUIK,5,333,4,EVE | FIX | OUR | VOW | MISS | VIVA | QUICK
36,OCAWIIFRMVSVVEEUQVSXOIUIK,5,333,5,EVE | FIX | OUR | VOW | SIMS | VIVA | QUICK
36,OCAWIIFRMVSVVEEUQVSXOIUIK,5,333,6,EVE | FIX | SIM | VOW | OURS | VIVA | QUICK
36,OCAWIIFRMVSVVEEUQVSXOIUIK,5,333,7,EVE | FIX | SIM | VOW | SOUR | VIVA | QUICK
36,OCAWIIFRMVSVVEEUQVSXOIUIK,5,333,8,EVE | FOX | SIM | VIA | VOW | QUICK | VIRUS
37,XPHEOKERTTEEEEPEXXPJDCVRR,5,186,1,COX | HEX | PEP | RED | VET | JERK | EXPERT
37,XPHEOKERTTEEEEPEXXPJDCVRR,5,186,2,COX | HEX | REV | DEEP | JERK | PREP | TEXT
37,XPHEOKERTTEEEEPEXXPJDCVRR,5,186,3,COX | HEX | REV | JERK | PEED | PREP | TEXT
37,XPHEOKERTTEEEEPEXXPJDCVRR,5,186,4,COX | HEX | EVER | JERK | TEXT | PREPPED
37,XPHEOKERTTEEEEPEXXPJDCVRR,5,186,5,COX | HEX | JERK | TEXT | VEER | PREPPED
37,XPHEOKERTTEEEEPEXXPJDCVRR,5,186,6,HEX | JET | PER | POX | REV | DECK | EXPERT
37,XPHEOKERTTEEEEPEXXPJDCVRR,5,186,7,HEX | JET | POX | RED | REV | PECK | EXPERT
37,XPHEOKERTTEEEEPEXXPJDCVRR,5,186,8,HEX | JET | POX | RED | REV | PERK | EXCEPT
38,JOVKFEUVAHDYAOVXXFAOBOERR,6,152,1,AXE | FOX | HUB | JOY | REV | FAVOR | VODKA
38,JOVKFEUVAHDYAOVXXFAOBOERR,6,152,2,BOA | FOX | FOX | REV | HAVE | JURY | VODKA
38,JOVKFEUVAHDYAOVXXFAOBOERR,6,152,3,BOO | FAX | FOX | REV | HAVE | JURY | VODKA
38,JOVKFEUVAHDYAOVXXFAOBOERR,6,152,4,BOX | FAX | FOO | REV | HAVE | JURY | VODKA
38,JOVKFEUVAHDYAOVXXFAOBOERR,6,152,5,BOX | FAX | FUR | JOY | HAVE | OVER | VODKA
38,JOVKFEUVAHDYAOVXXFAOBOERR,6,152,6,BOX | FAX | FUR | JOY | HAVE | ROVE | VODKA
38,JOVKFEUVAHDYAOVXXFAOBOERR,6,152,7,BOX | FAX | HUE | JOY | REV | FAVOR | VODKA
38,JOVKFEUVAHDYAOVXXFAOBOERR,6,152,8,BOX | FAX | JOY | REV | FOUR | HAVE | VODKA
39,IRPEEYCEREUOVIEPVCCDKXQVT,5,136,1,COD | EVE | REV | PRIVY | QUICK | EXCEPT
39,IRPEEYCEREUOVIEPVCCDKXQVT,5,136,2,COD | EVE | REV | PRIVY | QUICK | EXPECT
39,IRPEEYCEREUOVIEPVCCDKXQVT,5,136,3,COD | IVY | REV | VET | EXEC | PREP | QUICK
39,IRPEEYCEREUOVIEPVCCDKXQVT,5,136,4,COD | PIP | REV | VET | EXEC | VERY | QUICK
39,IRPEEYCEREUOVIEPVCCDKXQVT,5,136,5,COP | DIP | REV | VET | EXEC | VERY | QUICK
39,IRPEEYCEREUOVIEPVCCDKXQVT,5,136,6,COP | IVY | REV | REV | QUICK | EXPECTED
39,IRPEEYCEREUOVIEPVCCDKXQVT,5,136,7,COP | REV | REV | VET | EXEC | QUID | PICKY
39,IRPEEYCEREUOVIEPVCCDKXQVT,5,136,8,COP | REV | VET | EXEC | PICK | QUID | VERY
40,XUINJOJGFUVOGGQIYRRLNIOIM,5,110,1,FIG | GUM | IVY | JOG | NOR | JINX | LIQUOR
40,XUINJOJGFUVOGGQIYRRLNIOIM,5,110,2,FIG | IVY | JOG | JUG | NIX | NORM | LIQUOR
40,XUINJOJGFUVOGGQIYRRLNIOIM,5,110,3,FIG | IVY | JOG | MUG | NOR | JINX | LIQUOR
40,XUINJOJGFUVOGGQIYRRLNIOIM,5,110,4,FIG | JOG | NIX | JURY | LIQUOR | MOVING
40,XUINJOJGFUVOGGQIYRRLNIOIM,5,110,5,FIG | JOY | RUG | JINX | LIQUOR | MOVING
40,XUINJOJGFUVOGGQIYRRLNIOIM,5,110,6,FIN | GUM | JIG | JINX | GROOVY | LIQUOR
40,XUINJOJGFUVOGGQIYRRLNIOIM,5,110,7,FIN | IVY | JOG | JOG | MIX | RUNG | LIQUOR
40,XUINJOJGFUVOGGQIYRRLNIOIM,5,110,8,FIN | JIG | MUG | JINX | GROOVY | LIQUOR
41,AZRVZIJMRWZAQIDLCIIOJUWTA,5,500,1,AIR | JAW | JAZZ | QUIZ | WORLD | VICTIM
41,AZRVZIJMRWZAQIDLCIIOJUWTA,5,500,2,ARC | DIM | VOW | JAIL | JAZZ | QUIZ | WRIT
41,AZRVZIJMRWZAQIDLCIIOJUWTA,5,500,3,ARC | JAW | MIL | JAZZ | QUIZ | VOID | WRIT
41,AZRVZIJMRWZAQIDLCIIOJUWTA,5,500,4,ARC | JAW | RID | VOW | JAZZ | QUIZ | LIMIT
41,AZRVZIJMRWZAQIDLCIIOJUWTA,5,500,5,ARC | JAW | RIM | VOW | ZIT | JAZZ | LIQUID
41,AZRVZIJMRWZAQIDLCIIOJUWTA,5,500,6,ARC | JAW | RIM | JAZZ | QUIZ | VOID | WILT
